Single Year of Age,Female,Male
0,56372,59220
1,55090,57750
2,57948,60472
3,58966,62002
4,59638,63372
5,62684,65368
6,65244,68184
7,67144,70858
8,68874,72592
9,70454,73938
10,72132,76070
11,73726,76592
12,74594,77914
13,73564,76948
14,72160,74704
15,68984,71896
16,66336,69292
17,66090,69962
18,65704,67800
19,63458,65734
20,63248,64240
21,59780,61542
22,61536,62900
23,60102,61742
24,58728,60468
25,58588,59938
26,57728,58752
27,59056,58324
28,59576,57804
29,61872,59978
30,65682,61716
31,67420,64474
32,68764,64826
33,68978,63776
34,72568,66242
35,75880,69390
36,78060,71656
37,78386,72854
38,81804,75026
39,85184,77498
40,86286,80602
41,87392,82802
42,86674,83288
43,82816,78550
44,78758,75880
45,77012,75420
46,76254,74578
47,74942,74106
48,74290,72944
49,74162,73300
50,72398,72100
51,70050,69852
52,68828,68712
53,64408,65222
54,64336,64100
55,63126,62706
56,62558,61368
57,63528,61782
58,61320,59550
59,60000,58392
60,58126,56910
61,57712,55698
62,55798,54232
63,52624,51768
64,52218,50254
65,50366,49800
66,49324,47518
67,49048,47254
68,46036,45004
69,46750,45188
70,43794,42506
71,42472,40898
72,42318,39930
73,40268,38242
74,38354,36986
75,36588,34946
76,35330,32188
77,31942,29202
78,29332,26784
79,27876,24332
80,24346,21348
81,22382,18940
82,21518,17558
83,19970,15800
84,17780,13530
85,16606,12308
86,15002,10740
87,13532,9030
88,11854,7542
89,9922,6072
90,8570,4888
91,7562,3900
92,5618,2594
93,4640,1874
94,3474,1436
95,2688,964
96,1912,654
97,1464,434
98,984,260
99,672,210
100,1168,308
